Coursera,Course Name,Company,Course Description,Topics,Skills
,Natural Language Processing in Microsoft Azure,Microsoft,"Natural language processing supports applications that can see, hear, speak with, and understand users. Using text analytics, translation, and language understanding services, Microsoft Azure makes it easy to build applications that support natural language.

In this course, you will learn how to use the Text Analytics service for advanced natural language processing of raw text for sentiment analysis, key phrase extraction, named entity recognition, and language detection. You will learn how to recognize and synthesize speech by using Azure Cognitive Services. You will gain an understanding of how automated translation capabilities in an AI solution enable closer collaboration by removing language barriers. You will be introduced to the Language Understanding service, and shown how to create applications that understand language.

This course will help you prepare for Exam AI-900: Microsoft Azure AI Fundamentals. This is the fourth course in a five-course program that prepares you to take the AI-900 certification exam. This course teaches you the core concepts and skills that are assessed in the AI fundamentals exam domains.  

This beginner course is suitable for IT personnel who are just beginning to work with Microsoft Azure and want to learn about Microsoft Azure offerings and get hands-on experience with the product. Microsoft Azure AI Fundamentals can be used to prepare for other Azure role-based certifications like Microsoft Azure Data Scientist Associate or Microsoft Azure AI Engineer Associate, but it is not a prerequisite for any of them.

This course is intended for candidates with both technical and non-technical backgrounds. Data science and software engineering experience is not required; however, some general programming knowledge or experience would be beneficial.  To be successful in this course, you need to have basic computer literacy and proficiency in the English language. You should be familiar with basic computing concepts and terminology,  general technology concepts, including machine learning and artificial intelligence concepts.","Identify features of common NLP Workload Scenarios
Identify Azure tools and services for NLP workloads
Describe features of Natural Language Processing (NLP) workloads on Azure",
,Basic Data Processing and Visualization,UC San Diego,"This is the first course in the four-course specialization Python Data Products for Predictive Analytics, introducing the basics of reading and manipulating datasets in Python. In this course, you will learn what a data product is and go through several Python libraries to perform data retrieval, processing, and visualization. 

This course will introduce you to the field of data science and prepare you for the next three courses in the Specialization: Design Thinking and Predictive Analytics for Data Products, Meaningful Predictive Modeling, and Deploying Machine Learning Models. At each step in the specialization, you will gain hands-on experience in data manipulation and building your skills, eventually culminating in a capstone project encompassing all the concepts taught in the specialization.","Develop data strategy and process for how data will be generated, collected, and consumed

Load and process formatted datasets such as CSV and JSON.

Deal with data in various formats (e.g. timestamps, strings) and filter and “clean” datasets by removing outliers etc.

Basic experience with data processing libraries such as numpy and data ingestion with urllib, requests","Python Libraries
Data Pre-Processing
Data Visualization (DataViz)
Web Scraping"
,IBM Data Analytics with Excel and R Professional Certificate,IBM,"This Professional Certificate is intended for anyone who is seeking to develop the job-ready skills, tools, and portfolio for an entry-level data analyst or data scientist position. Through these eight online courses, you will dive into the role of a data analyst or data scientist and develop the essential skills you need work with a range of data sources and apply powerful tools, including Excel, Cognos Analytics, and the R programming language, towards becoming a data driven practitioner, and gaining a competitive edge in the job market.

By the end of this Professional Certificate, you will be able to explain the data analyst and data scientist roles. You will work with Excel spreadsheets and utilize them for data analysis to create charts and plots. You will utilize Cognos Analytics to create interactive dashboards. You will work with relational databases and query data using SQL statements. You will use the R programming language to complete the entire data analysis process - including data preparation, statistical analysis, data visualization, predictive modeling, and creating interactive data applications. You will also communicate your data findings and learn to prepare a report for stakeholders.

This program is suitable for anyone with a passion for learning and does not require any prior data analysis, statistics, or programming experience.","Utilize Excel spreadsheets to perform a variety of data analysis tasks like data wrangling, using pivot tables, data mining, & creating charts

Complete the data analysis process, including data preparation, statistical analysis,  predictive modeling, using R, R Studio, and Jupyter

Create relational databases and tables, query data, sort, filter and aggregate result sets using SQL and R from JupyterLab

Communicate your data findings using various data visualization techniques including, charts, plots & interactive dashboards with Cognos and R Shiny","Excel data preparation and visualization
Data Analytics and Modelling
R programming fundamentals
Cognos Analytics dashboards
SQL and RDBMS
Data Science
Spreadsheet
Data Analysis
Microsoft Excel
Pivot Table
Data Visualization (DataViz)
IBM Cognos Analytics"
,Data Science: Statistics and Machine Learning Specialization,John Hopkins University,"Build models, make inferences, and deliver interactive data products.
This specialization continues and develops on the material from the Data Science: Foundations using R specialization. It covers statistical inference, regression models, machine learning, and the development of data products. In the Capstone Project, you’ll apply the skills learned by building a data product using real-world data. At completion, learners will have a portfolio demonstrating their mastery of the material.

The five courses in this specialization are the very same courses that make up the second half of the Data Science Specialization. This specialization is presented for learners who have already mastered the fundamentals and want to skip right to the more advanced courses.","Perform regression analysis, least squares and inference using regression models.

Build and apply prediction functions

Develop public data products

Understand the process of drawing conclusions about populations or scientific truths from data","Machine Learning
Github
R Programming
Regression Analysis
Data Visualization (DataViz)
Statistics
Statistical Inference
Statistical Hypothesis Testing
Model Selection
Generalized Linear Model
Linear Regression
Random Forest"
,Python Data Products for Predictive Analytics Specialization,UC San Diego,"Python data products are powering the AI revolution. Top companies like Google, Facebook, and Netflix use predictive analytics to improve the products and services we use every day. Take your Python skills to the next level and learn to make accurate predictions with data-driven systems and deploy machine learning models with this four-course Specialization from UC San Diego.

This Specialization is for learners who are proficient with the basics of Python. You’ll start by creating your first data strategy. You’ll also develop statistical models, devise data-driven workflows, and learn to make meaningful predictions for a wide-range of business and research purposes. Finally, you’ll use design thinking methodology and data science techniques to extract insights from a wide range of data sources. This is your chance to master one of the technology industry’s most in-demand skills.

Python Data Products for Predictive Analytics is taught by Professor Ilkay Altintas, Ph.D. and Julian McAuley. Dr. Alintas is a prominent figure in the data science community and the designer of the highly-popular Big Data Specialization on Coursera. She has helped educate hundreds of thousands of learners on how to unlock value from massive datasets.","Discover how to transform data and make it suitable for data-driven predictive tasks 

Understand how to compute basic statistics using real-world datasets of consumer activities, like product reviews and more

Use Python to create interactive data visualizations to make meaningful predictions and build simple demo systems

Perform simple regressions and classifications on datasets using machine learning libraries ","Machine Learning
Python Programming
Predictive Analytics
Data Processing
Data Visualization (DataViz)
Python Libraries
Data Pre-Processing
Web Scraping
Big Data Products
Recommender Systems"
,Introduction to Accounting Data Analytics and Visualization,Illinois,"Accounting has always been about analytical thinking. From the earliest days of the profession, Luca Pacioli emphasized the importance of math and order for analyzing business transactions. The skillset that accountants have needed to perform math and to keep order has evolved from pencil and paper, to typewriters and calculators, then to spreadsheets and accounting software. A new skillset that is becoming more important for nearly every aspect of business is that of big data analytics: analyzing large amounts of data to find actionable insights. This course is designed to help accounting students develop an analytical mindset and prepare them to use data analytic programming languages like Python and R.

We’ve divided the course into three main sections. In the first section, we bridge accountancy to analytics. We identify how tasks in the five major subdomains of accounting (i.e., financial, managerial, audit, tax, and systems) have historically required an analytical mindset, and we then explore how those tasks can be  completed more effectively and efficiently by using big data analytics. We then present a FACT framework for guiding big data analytics: Frame a question, Assemble data, Calculate the data, and Tell others about the results.
 
In the second section of the course, we emphasize the importance of assembling data. Using financial statement data, we explain desirable characteristics of both data and datasets that will lead to effective calculations and visualizations.
 
In the third, and largest section of the course, we demonstrate and explore how Excel and Tableau can be used to analyze big data. We describe visual perception principles and then apply those principles to create effective visualizations. We then examine fundamental data analytic tools, such as regression, linear programming (using Excel Solver), and clustering in the context of point of sale data and loan data. We conclude by demonstrating the power of data analytic programming languages to assemble, visualize, and analyze data. We introduce Visual Basic for Applications  as an example of a programming language, and the Visual Basic Editor as an example of an integrated development environment (IDE).",,"Data Analysis
Predictive Analytics
Data Visualization (DataViz)
Data Architecture
coding"
,Wearable Technologies and Sports Analytics,University of Michigan,"Sports analytics now include massive datasets from athletes and teams that quantify both training and competition efforts.  Wearable technology devices are being worn by athletes everyday and provide considerable opportunities for an in-depth look at the stress and recovery of athletes across entire seasons.  The capturing of these large datasets has led to new hypotheses and strategies regarding injury prevention as well as detailed feedback for athletes to try and optimize training and recovery.

This course is an introduction to wearable technology devices and their use in training and competition as part of the larger field of sport sciences.  It includes an introduction to the physiological principles that are relevant to exercise training and sport performance and how wearable devices can be used to help characterize both training and performance.  It includes access to some large sport team datasets and uses programming in python to explore concepts related to training, recovery and performance.",,
,Design Thinking and Predictive Analytics for Data Products,UC San Diego,"This is the second course in the four-course specialization Python Data Products for Predictive Analytics, building on the data processing covered in Course 1 and introducing the basics of designing predictive models in Python. In this course, you will understand the fundamental concepts of statistical learning and learn various methods of building predictive models. At each step in the specialization, you will gain hands-on experience in data manipulation and building your skills, eventually culminating in a capstone project encompassing all the concepts taught in the specialization.",,
,,,,,
EdX,Introduction to Data Science,IBM,"The art of uncovering the insights and trends in data has been around for centuries. The ancient Egyptians applied census data to increase efficiency in tax collection and they accurately predicted the flooding of the Nile river every year. Since then, people working in data science have carved out a unique and distinct field for the work they do. This field is data science and in this course, you will meet some big data science practitioners and we will get an overview of what data science is today.","Definition of data science and what data scientists do
Tools and algorithms used on a daily basis within the field
Skills needed to be a successful data scientist
The role of data science within a business
How to form a strong data science team",
,Data Science: R Basics,HarvardX,"The first in our Professional Certificate Program in Data Science, this course will introduce you to the basics of R programming. You can better retain R when you learn it to solve a specific problem, so you'll use a real-world dataset about crime in the United States. You will learn the R skills needed to answer essential questions about differences in crime across the different states.

We'll cover R's functions and data types, then tackle how to operate on vectors and when to use advanced functions like sorting. You'll learn how to apply general programming features like ""if-else,"" and ""for loop"" commands, and how to wrangle, analyze and visualize data.

Rather than covering every R skill you might need, you'll build a strong foundation to prepare you for the more in-depth courses later in the series, where we cover concepts like probability, inference, regression, and machine learning. We help you develop a skill set that includes R programming, data wrangling with dplyr, data visualization with ggplot2, file organization with UNIX/Linux, version control with git and GitHub, and reproducible document preparation with RStudio.

The demand for skilled data science practitioners is rapidly growing, and this series prepares you to tackle real-world data analysis challenges.","Basic R syntax
Foundational R programming concepts such as data types, vectors arithmetic, and indexing
How to perform operations in R including sorting, data wrangling using dplyr, and making plots",
,Data Science: Visualization,HarvardX,"As part of our Professional Certificate Program in Data Science, this course covers the basics of data visualization and exploratory data analysis. We will use three motivating examples and ggplot2, a data visualization package for the statistical programming language R. We will start with simple datasets and then graduate to case studies about world health, economics, and infectious disease trends in the United States.

We'll also be looking at how mistakes, biases, systematic errors, and other unexpected problems often lead to data that should be handled with care. The fact that it can be difficult or impossible to notice a mistake within a dataset makes data visualization particularly important.

The growing availability of informative datasets and software tools has led to increased reliance on data visualizations across many areas. Data visualization provides a powerful way to communicate data-driven findings, motivate analyses, and detect flaws. This course will give you the skills you need to leverage data to reveal valuable insights and advance your career.","Data visualization principles
How to communicate data-drivenfindings
How to use ggplot2 to create custom plots
The weaknesses of several widely-used plots and why you should avoid them",
,Data Science: Probability,HarvardX,"In this course, part of our Professional Certificate Program in Data Science,you will learn valuable concepts in probability theory. The motivation for this course is the circumstances surrounding the financial crisis of 2007-2008. Part of what caused this financial crisis was that the risk of some securities sold by financial institutions was underestimated. To begin to understand this very complicated event, we need to understand the basics of probability.

We will introduce important concepts such as random variables, independence, Monte Carlo simulations, expected values, standard errors, and the Central Limit Theorem. These statistical concepts are fundamental to conducting statistical tests on data and understanding whether the data you are analyzing is likely occurring due to an experimental method or to chance.

Probability theory is the mathematical foundation of statistical inference which is indispensable for analyzing data affected by chance, and thus essential for data scientists.","Important concepts in probability theory including random variables and independence
How to perform a Monte Carlo simulation
The meaning of expected values and standard errors and how to compute them in R
The importance of the Central Limit Theorem",
,Data Science: Inference and Modeling,HarvardX,"Statistical inference and modeling are indispensable for analyzing data affected by chance, and thus essential for data scientists. In this course, you will learn these key concepts through a motivating case study on election forecasting.

This course will show you how inference and modeling can be applied to develop the statistical approaches that make polls an effective tool and we'll show you how to do this using R. You will learn concepts necessary to define estimates and margins of errors and learn how you can use these to make predictions relatively well and also provide an estimate of the precision of your forecast.

Once you learn this you will be able to understand two concepts that are ubiquitous in data science: confidence intervals, and p-values. Then, to understand statements about the probability of a candidate winning, you will learn about Bayesian modeling. Finally, at the end of the course, we will put it all together to recreate a simplified version of an election forecast model and apply it to the 2016 election.","The concepts necessary to define estimates and margins of errors of populations, parameters, estimates and standard errors in order to make predictions about data
How to use models to aggregatedata from different sources
The very basics of Bayesian statistics and predictive modeling",
,Data Science: Productivity Tools,HarvardX,"A typical data analysis project may involve several parts, each including several data files and different scripts with code. Keeping all this organized can be challenging.

Part of our Professional Certificate Program in Data Science, this course explains how to use Unix/Linux as a tool for managing files and directories on your computer and how to keep the file system organized. You will be introduced to the version control systems git, a powerful tool for keeping track of changes in your scripts and reports. We also introduce you to GitHub and demonstrate how you can use this service to keep your work in a repository that facilitates collaborations.

Finally, you will learn to write reports in R markdown which permits you to incorporate text and code into a document. We'll put it all together using the powerful integrated desktop environment RStudio.","How to use Unix/Linux to manage your file system
How to perform version control with git
How to start a repository on GitHub
How to leverage the many useful features provided by Rstudio",
,Data Science: Wrangling,HarvardX,"In this course, part of our Professional Certificate Program in Data Science,we cover several standard steps of the data wrangling process like importing data into R, tidying data, string processing, HTML parsing, working with dates and times, and text mining. Rarely are all these wrangling steps necessary in a single analysis, but a data scientist will likely face them all at some point.

Very rarely is data easily accessible in a data science project. It's more likely for the data to be in a file, a database, or extracted from documents such as web pages, tweets, or PDFs. In these cases, the first step is to import the data into R and tidy the data, using the tidyverse package. The steps that convert data from its raw form to the tidy form is called data wrangling.

This process is a critical step for any data scientist. Knowing how to wrangle and clean data will enable you to make critical insights that would otherwise be hidden.","Importing data into R fromdifferent file formats
Web scraping
How to tidy data using the tidyverse tobetter facilitateanalysis
String processing with regular expressions (regex)
Wrangling data using dplyr
How to workwith dates and times as file formats
Text mining",
,Data Science: Linear Regression,HarvardX,"Linear regression is commonly used to quantify the relationship between two or more variables. It is also used to adjust for confounding. This course, part ofourProfessional Certificate Program in Data Science, covers how to implement linear regression and adjust for confounding in practice using R.

In data science applications, it is very common to be interested in the relationship between two or more variables. The motivating case study we examine in this course relates to the data-driven approach used to construct baseball teams described in Moneyball. We will try to determine which measured outcomes best predict baseball runs by using linear regression.

We will also examine confounding, where extraneous variables affect the relationship between two or more other variables, leading to spurious associations. Linear regression is a powerful technique for removing confounders, but it is not a magical process. It is essential to understand when it is appropriate to use, and this course will teach you when to apply this technique.","How linear regression was originally developed by Galton
What is confounding and how to detect it
How to examine the relationships between variables by implementing linear regression in R",
,Data Science: Machine Learning,HarvardX,"Perhaps the most popular data science methodologies come from machine learning. What distinguishes machine learning from other computer guided decision processes is that it builds prediction algorithms using data. Some of the most popular products that use machine learning include the handwriting readers implemented by the postal service, speech recognition, movie recommendation systems, and spam detectors.

In this course,part ofourProfessional Certificate Program in Data Science, you will learn popular machine learning algorithms, principal component analysis, and regularization by building a movie recommendation system.

You will learn about training data, and how to use a set of data to discover potentially predictive relationships. As you build the movie recommendation system, you will learn how to train algorithms using training data so you can predict the outcome for future datasets. You will also learn about overtraining and techniques to avoid it such as cross-validation. All of these skills are fundamental to machine learning.","The basics of machine learning
How to perform cross-validation to avoid overtraining
Several popular machine learning algorithms
How to build a recommendation system
What is regularization and why it is useful?",
,Data Science: Capstone,HarvardX,"To become an expert data scientist you need practice and experience. By completing this capstone project you will get an opportunity to apply the knowledge and skills in R data analysis that you have gained throughout the series. This final project will test your skills in data visualization, probability, inference and modeling, data wrangling, data organization, regression, and machine learning.

Unlike the rest of ourProfessional Certificate Program in Data Science, in this course, you will receive much less guidance from the instructors. When you complete the project you will have a data product to show off to potential employers or educational programs, a strong indicator of your expertise in the field of data science.","How to apply the knowledge base and skills learned throughout the series to a real-world problem
How to independently work on a data analysis project",
,Introduction to Data Science,IBM,"The art of uncovering the insights and trends in data has been around for centuries. The ancient Egyptians applied census data to increase efficiency in tax collection and they accurately predicted the flooding of the Nile river every year. Since then, people working in data science have carved out a unique and distinct field for the work they do. This field is data science and in this course, you will meet some big data science practitioners and we will get an overview of what data science is today.","Definition of data science and what data scientists do
Tools and algorithms used on a daily basis within the field
Skills needed to be a successful data scientist
The role of data science within a business
How to form a strong data science team",
,Data Science Tools,IBM,"In this course, you'll learn about Data Science tools like Jupyter Notebooks, RStudio IDE, and Watson Studio. You will learn what each tool is used for, what programming languages they can execute, their features and limitations and how data scientists use these tools today.

With the tools hosted in the cloud, you will be able to test each tool and follow instructions to run simple code in Python or R. To complete the course, you will create a final project with a Jupyter Notebook on IBM Watson Studio on Cloud and demonstrate your proficiency in preparing a notebook, writing Markdown, and sharing your work with your peers.

This hands-on course will get you up and running with some of the latest and greatest data science tools.","How to use various data science and data visualization tools hosted on Skills Network Labs
How to use Jupyter Notebooks including its features and why it's so popular
Popular tools used by R Programmers including RStudio IDE
IBM Watson Studio including its features and capabilities
How to create and share a Jupyter Notebook",
,The Data Science Method,IBM,"Despite and influx in computing power and access to data over the last couple of decades, our ability to use data within the decision-making process is either lost or not maximized all too often. We do not have a strong grasp of the questions asked and how to apply the data correctly to resolve the issues at hand.

The purpose of this course is to share the methods, models and practices that can be applied within data science, to ensure that the data used in problem-solving is relevant and properly manipulated to address business and real-world challenges.

You will learn how to identify a problem, collect and analyze data, build a model, and understand the feedback after model deployment.

Advancing your ability to manage, decipher and analyze new and big data is vital to working in data science. By the end of this course, you will have a better understanding of the various stages and requirements of the data science method and be able to apply it to your own work.","The major steps involved in tackling a data science problem.
Why data scientists need a methodology and an approach.
What it means to understand data, and prepare or clean data
How to practice data science, including forming a concrete business question or research.
Through completing a peer-reviewed assignment, you will demonstrate your understanding of the data science methodology by applying it to a problem that you define.",
,SQL for Data Science,IBM,"Much of the world's data lives in databases. SQL (or Structured Query Language) is a powerful programming language that is used for communicating with and extracting various data types from databases. A working knowledge of databases and SQL is necessary to advance as a data scientist or a machine learning specialist. The purpose of this course is to introduce relational database concepts and help you learn and apply foundational knowledge of the SQL language. It is also intended to get you started with performing SQL access in a data science environment.

The emphasis in this course is on hands-on, practical learning. As such, you will work with real databases, real data science tools, and real-world datasets. You will create a database instance in the cloud. Through a series of hands-on labs, you will practice building and running SQL queries. You will also learn how to access databases from Jupyter notebooks using SQL and Python.

No prior knowledge of databases, SQL, Python, or programming is required.","Learn and apply foundational knowledge of the SQL language
How to create a database in the cloud
How to use string patterns and ranges to query data
How to sort and group data in result sets and by data type
How to analyze data using Python",
,Python Basics for Data Science,IBM,"Kickstart your learning of Python for data science, as well as programming in general with this introduction to Python course. This beginner-friendly Python course will quickly take you from zero to programming in Python in a matter of hours and give you a taste of how to start working with data in Python. ~~~~

Upon its completion, you'll be able to write your own Python scripts and perform basic hands-on data analysis using our Jupyter-based lab environment. If you want to learn Python from scratch, this course is for you.

You can start creating your own data science projects and collaborating with other data scientists using IBM Watson Studio. When you sign up, you will receive free access to Watson Studio. Start now and take advantage of this platform and learn the basics of programming, machine learning, and data visualization with this introductory course.

Coaching

If you are enrolled in the verified track (paid track) in any course that is a part of a MicroBachelors program, including this course, you are eligible for coaching at no additional cost. Please note that coaching is only available via SMS to U.S. phone lines.

Our coaches (real humans) are ready to help you with career exploration, navigating resources, staying motivated, and solving problems along the way to your goals.","What Python is and why it is useful
The application of Python to Data Science
How to define variables in Python
Sets and conditional statements in Python
The purpose of having functions in Python
How to operate on files to read and write data in Python
How to use pandas, a must have package for anyone attempting data analysis in Python.",
,Python for Data Science Project,IBM,This mini-course is intended for you to demonstrate foundational Python skills for working with data. The completion of this course involves working on a hands-on project where you will develop a simple dashboard using Python.,"In this course you will learn about:

Demonstrate your skills for working with Python and Data
Create a dashboard that shows key performance indicators from a specific data set",
,Analyzing Data with Python,IBM,"LEARN TO ANALYZE DATA WITH PYTHON

Learn how to analyze data using Python in this introductory course. You will go from understanding the basics of Python to exploring many different types of data through lecture, hands-on labs, and assignments. You will learn how to prepare data for analysis, perform simple statistical analyses, create meaningful data visualizations, predict future trends from data, and more!","How to import data sets, clean and prepare data for analysis, summarize data, and build data pipelines
Use Pandas DataFrames, Numpy multidimensional arrays, and SciPy libraries to work with various datasets
Load, manipulate, analyze, and visualize datasets with pandas, an open-source library
Build machine-learning models and make predictions with scikit-learn, another open-source library
It includes following parts:

Data Analysis libraries: will learn to use Pandas DataFrames, Numpy multi-dimentional arrays, and SciPy libraries to work with a various datasets. We will introduce you to pandas, an open-source library, and we will use it to load, manipulate, analyze, and visualize cool datasets. Then we will introduce you to another open-source library, scikit-learn, and we will use some of its machine learning algorithms to build smart models and make cool predictions.",
,Visualizing Data with Python,IBM,"""A picture is worth a thousand words."" We are all familiar with this expression. It especially applies when trying to explain the insights obtained from the analysis of increasingly large datasets. Data visualization plays an essential role in the representation of both small and large-scale data.

One of the key skills of a data scientist is the ability to tell a compelling story, visualizing data and findings in an approachable and stimulating way.

In this course, you will learn how to leverage a software tool to visualize data that will also enable you to extract information, better understand the data, and make more effective decisions.

When you sign up for this course, you get free access to IBM Watson Studio. In Watson Studio, you’ll be able to start creating your own data science projects and collaborating with other data scientists. Start now and take advantage of everything this platform has to offer!","How to present data using some of the data visualization libraries in Python, including Matplotlib, Seaborn, and Folium
How to use basic visualization tools, including area plots, histograms, and bar charts
How to use specialized visualization tools, including pie charts, box plots, scatter plots, and bubble plots
How to use advanced visualization tools, including waffle charts, word clouds, and Seaborn and regression plots
How to create maps and visualize geospatial data",
,Machine Learning with Python: A Practical Introduction,IBM,"This Machine Learning with Python course dives into the basics of machine learning using Python, an approachable and well-known programming language. You'll learn about supervised vs. unsupervised learning, look into how statistical modeling relates to machine learning, and do a comparison of each.

We'll explore many popular algorithms including Classification, Regression, Clustering, and Dimensional Reduction and popular models such as Train/Test Split, Root Mean Squared Error (RMSE), and Random Forests. Along the way, you’ll look at real-life examples of machine learning and see how it affects society in ways you may not have guessed!

Most importantly, you will transform your theoretical knowledge into practical skill using hands-on labs. Get ready to do more learning than your machine!

We'll explore many popular algorithms including Classification, Regression, Clustering, and Dimensional Reduction and popular models such asTrain/Test Split, Root Mean Squared Error and Random Forests.

Mostimportantly, you will transform your theoretical knowledge into practical skill using hands-on labs. Get ready to do more learning than your machine!","The difference between the two main types of machine learning methods: supervised and unsupervised
Supervised learning algorithms, including classification and regression
Unsupervised learning algorithms, including Clustering and Dimensionality Reduction
How statistical modeling relates to machine learning and how to compare them
Real-life examples of the different ways machine learning affects society","Module 1 - Introduction to Machine Learning
Applications of Machine Learning
Supervised vs Unsupervised Learning
Python libraries suitable for Machine Learning

Module 2 - Regression
Linear Regression
Non-linear Regression
Model evaluation methods

Module 3 - Classification
K-Nearest Neighbour
Decision Trees
Logistic Regression
Support Vector Machines
Model Evaluation

Module 4 - Unsupervised Learning
K-Means Clustering
Hierarchical Clustering
Density-Based Clustering

Module 5 - Recommender Systems
Content-based recommender systems
Collaborative Filtering"
,Data Science and Machine Learning Capstone Project,IBM,"Now that you've taken several courses on data science and machine learning, it’s time to put your learning to work on a data problem involving a real life scenario. Employers really care about how well you can apply your knowledge and skills to solve real world problems, and the work you do in this capstone project will make you stand out in the job market.

In this capstone project, you’ll explore data sets in New York’s 311 system, which is used by New Yorkers to report complaints for the non-emergency problems they face. Upon being reported, various agencies in New York get assigned to resolve these problems. The data related to these complaints is available in the New York City Open Dataset. On investigation, one can see that in the last few years the 311 complaints coming to the Department of Housing Preservation and Development in New York City have increased significantly.

Your task is to find out the answers to some of the questions that would help the Department of Housing Preservation and Development in New York City effectively tackle the 311 complaints coming to them. You will need to use the techniques you learned in your previous Python, data science, and machine learning courses, including data ingestion, data exploration, data visualization, feature engineering, probabilistic modeling, model validation, and more.

By the end of this course, you will have used real world data science tools to create a showcase project and demonstrate to employers that you are job ready and a worthy candidate in the field of data science.","Apply your knowledge of data science and machine learning to a real life scenario
Analyze and visualize data using Python
Perform a feature engineering exercise using Python
Build and validate a predictive machine learning model using Python
Create and share actionable insights to real life data problems",
,Probability - The Science of Uncertainty and Data,MIT,"The world is full of uncertainty: accidents, storms, unruly financial markets, noisy communications. The world is also full of data. Probabilistic modeling and the related field of statistical inference are the keys to analyzing data and making scientifically sound predictions.

Probabilistic models use the language of mathematics. But instead of relying on the traditional ""theorem-proof"" format, we develop the material in an intuitive -- but still rigorous and mathematically-precise -- manner. Furthermore, while the applications are multiple and evident, we emphasize the basic concepts and methodologies that are universally applicable.

The course covers all of the basic probability concepts, including:

multiple discrete or continuous random variables, expectations, and conditional distributions
laws of large numbers
the main tools of Bayesian inference methods
an introduction to random processes (Poisson processes and Markov chains)
The contents of this courseare heavily based upon the corresponding MIT class -- Introduction to Probability -- a course that has been offered and continuously refined over more than 50 years. It is a challenging class but will enable you to apply the tools of probability theory to real-world applications or to your research.","Unit 1: Probability models and axioms

Probability models and axioms
Mathematical background: Sets; sequences, limits, and series; (un)countable sets.
Unit 2: Conditioning and independence

Conditioning and Bayes' rule
Independence
Unit 3: Counting

Counting
Unit 4: Discrete random variables

Probability mass functions and expectations
Variance; Conditioning on an event; Multiple random variables
Conditioning on a random variable; Independence of random variables
Unit 5: Continuous random variables

Probability density functions
Conditioning on an event; Multiple random variables
Conditioning on a random variable; Independence; Bayes' rule
Unit 6: Further topics on random variables

Derived distributions
Sums of independent random variables; Covariance and correlation
Conditional expectation and variance revisited; Sum of a random number of independent random variables
Unit 7: Bayesian inference

Introduction to Bayesian inference
Linear models with normal noise
Least mean squares (LMS) estimation
Linear least mean squares (LLMS) estimation
Unit 8: Limit theorems and classical statistics

Inequalities, convergence, and the Weak Law of Large Numbers
The Central Limit Theorem (CLT)
An introduction to classical statistics
Unit 9: Bernoulli and Poisson processes

The Bernoulli process
The Poisson process
More on the Poisson process
Unit 10 (Optional): Markov chains

Finite-state Markov chains
Steady-state behavior of Markov chains
Absorption probabilities and expected time to absorption","The basic structure and elements of probabilistic models
Random variables, their distributions, means, and variances
Probabilistic calculations
Inference methods
Laws of large numbers and their applications
Random processes"
,Fundamentals of Statistics,MIT,"Statistics is the science of turning data into insights and ultimately decisions. Behind recent advances in machine learning, data science and artificial intelligence are fundamental statistical principles. The purpose of this class is to develop and understand these core ideas on firm mathematical grounds starting from the construction of estimators and tests, as well as an analysis of their asymptotic performance.

After developing basic tools to handle parametric models, we will explore how to answer more advanced questions, such as the following:

How suitable is a given model for a particular dataset?
How to select variables in linear regression?
How to model nonlinear phenomena?
How to visualize high-dimensional data?
Taking this class will allow you to expand your statistical knowledge to not only include a list of methods, but also the mathematical principles that link them together, equipping you with the tools you need to develop new ones.","Construct estimators using method of moments and maximum likelihood, and decide how to choose between them
Quantify uncertainty using confidence intervals and hypothesis testing
Choose between different models using goodness of fit test
Make prediction using linear, nonlinear and generalized linear models
Perform dimension reduction using principal component analysis (PCA)",
,Machine Learning with Python: from Linear Models to Deep Learning,MIT,"Machine learning methods are commonly used across engineering and sciences, from computer systems to physics. Moreover, commercial sites such as search engines, recommender systems (e.g., Netflix, Amazon), advertisers, and financial institutions employ machine learning algorithms for content recommendation, predicting customer behavior, compliance, or risk.

As a discipline, machine learning tries to design and understand computer programs that learn from experience for the purpose of prediction or control.

In this course, students will learn about principles and algorithms for turning training data into effective automated predictions. We will cover:

Representation, over-fitting, regularization, generalization, VC dimension;
Clustering, classification, recommender problems, probabilistic modeling, reinforcement learning;
On-line algorithms, support vector machines, and neural networks/deep learning.
Students will implement and experiment with the algorithms in several Python projects designed for different practical applications.","Understand principles behind machine learning problems such as classification, regression, clustering, and reinforcement learning
Implement and analyze models such as linear models, kernel machines, neural networks, and graphical models
Choose suitable models for different applications
Implement and organize machine learning projects, from training, validation, parameter tuning, to feature engineering.","Lectures :

Introduction
Linear classifiers, separability, perceptron algorithm
Maximum margin hyperplane, loss, regularization
Stochastic gradient descent, over-fitting, generalization
Linear regression
Recommender problems, collaborative filtering
Non-linear classification, kernels
Learning features, Neural networks
Deep learning, back propagation
Recurrent neural networks
Recurrent neural networks
Generalization, complexity, VC-dimension
Unsupervised learning: clustering
Generative models, mixtures
Mixtures and the EM algorithm
Learning to control: Reinforcement learning
Reinforcement learning continued
Applications: Natural Language Processing
Projects :

Automatic Review Analyzer
Digit Recognition with Neural Networks
Reinforcement Learning"
,Capstone Exam in Statistics and Data Science,MIT,This capstone exam is the final part of the MITx MicroMasters Program in Statistics and Data Science. Complete the four courses in this program and take this virtually-proctored exam to earn your MicroMasters credential and demonstrate your proficiency in data science or accelerate your path towards an MIT PhD or a Master's at other universities.,,
